round,seed,steps,validation_throughput_mbps
1,7,1024,6.130205541717141
1,7,2048,5.439724890182354
1,7,3072,5.154377328139041
1,7,4096,6.1045554967986675
1,7,5120,6.376240799964419
1,7,6144,6.027123309449669
1,7,7168,6.535199974568871
1,7,8192,6.173519971637742
1,7,9216,6.547388613155973
1,7,10240,6.438235443526605
1,7,11264,6.537110584237086
1,7,12288,6.206042531226563
1,7,13312,6.256712808044571
1,7,14336,6.635267858236387
1,7,15360,5.830525493802674
1,7,16384,5.965352559536527
1,7,17408,6.14967907496274
1,7,18432,5.083196820904686
1,7,19456,5.1670284475169295
1,7,20480,5.9301878024844115
1,7,21504,6.392080081917175
1,7,22528,6.39743974557949
1,7,23552,6.835472494378603
1,7,24576,6.419743430800651
1,7,25600,6.675038497417941
1,7,26624,6.587588988218241
1,7,27648,6.3194632254261895
1,7,28672,6.459632431857267
1,7,29696,6.0369695485670665
1,7,30720,5.27900947952666
1,7,31744,5.286770793625385
1,7,32768,4.699241269660724
1,17,1024,5.476139706216756
1,17,2048,5.691976221616461
1,17,3072,5.527843079248464
1,17,4096,5.828970007860594
1,17,5120,5.814754647422161
1,17,6144,5.838393511023275
1,17,7168,5.784159935122966
1,17,8192,5.671927861451513
1,17,9216,5.789463521902337
1,17,10240,5.983688358201227
1,17,11264,6.230167455150139
1,17,12288,5.988110734358109
1,17,13312,6.300909114828775
1,17,14336,6.191295839958679
1,17,15360,6.004601661870083
1,17,16384,5.834760161058824
1,17,17408,5.6267049548446835
1,17,18432,5.853447532464734
1,17,19456,5.767038761176601
1,17,20480,5.483985345313214
1,17,21504,5.875977158034679
1,17,22528,5.791455853707234
1,17,23552,5.189759810968677
1,17,24576,5.020107353675361
1,17,25600,5.073657228908241
1,17,26624,5.131803262984945
1,17,27648,5.08144686938443
1,17,28672,4.844922515945321
1,17,29696,5.090718597381126
1,17,30720,4.577700695765848
1,17,31744,5.057139022712235
1,17,32768,4.902596374960402
1,27,1024,5.397692056034432
1,27,2048,5.949463342577152
1,27,3072,6.313355102000863
1,27,4096,5.8620976445962905
1,27,5120,6.0835740946099515
1,27,6144,6.688579917096033
1,27,7168,6.418275323957316
1,27,8192,6.424332874151122
1,27,9216,6.254267848890116
1,27,10240,6.1435054959356865
1,27,11264,6.476921495193619
1,27,12288,6.545997290813114
1,27,13312,6.290962298845539
1,27,14336,6.224072412485114
1,27,15360,6.559882754026945
1,27,16384,6.46031454320921
1,27,17408,6.593864669564212
1,27,18432,6.624604795191293
1,27,19456,6.816005508398324
1,27,20480,6.8009511794566535
1,27,21504,6.582720589608909
1,27,22528,7.2187791796005305
1,27,23552,6.110610274384007
1,27,24576,6.1279020747260775
1,27,25600,6.461037233053185
1,27,26624,6.4425874879116884
1,27,27648,6.50588219880837
